Month,google_trends
2010-01,51
2010-02,47
2010-03,46
2010-04,49
2010-05,50
2010-06,74
2010-07,66
2010-08,65
2010-09,71
2010-10,67
2010-11,67
2010-12,73
2011-01,70
2011-02,68
2011-03,64
2011-04,62
2011-05,63
2011-06,62
2011-07,62
2011-08,64
2011-09,70
2011-10,94
2011-11,72
2011-12,78
2012-01,74
2012-02,67
2012-03,66
2012-04,62
2012-05,58
2012-06,60
2012-07,63
2012-08,63
2012-09,100
2012-10,69
2012-11,66
2012-12,72
2013-01,66
2013-02,65
2013-03,63
2013-04,58
2013-05,58
2013-06,59
2013-07,58
2013-08,58
2013-09,79
2013-10,63
2013-11,60
2013-12,66
2014-01,61
2014-02,59
2014-03,56
2014-04,52
2014-05,52
2014-06,51
2014-07,55
2014-08,56
2014-09,88
2014-10,68
2014-11,61
2014-12,62
2015-01,61
2015-02,54
2015-03,55
2015-04,55
2015-05,52
2015-06,53
2015-07,58
2015-08,59
2015-09,69
2015-10,65
2015-11,59
2015-12,62
2016-01,59
2016-02,55
2016-03,63
2016-04,55
2016-05,52
2016-06,54
2016-07,55
2016-08,57
2016-09,74
2016-10,61
2016-11,55
2016-12,57
2017-01,53
2017-02,50
2017-03,48
2017-04,48
2017-05,46
2017-06,46
2017-07,49
2017-08,47
2017-09,68
2017-10,55
2017-11,61
2017-12,58
